ID,Sample_ID,Token,State,IIT_Value
0,0,BOS,2,1.2928777324442686
1,0,<｜User｜>,14,1.3322325754610755
2,0,Jan,14,1.3322325754610755
3,0,et,4,2.4800803383250454
4,0,âĢĻs,4,2.4800803383250454
5,0,Ġducks,28,1.0436740353309815
6,0,Ġlay,28,1.0436740353309815
7,0,Ġ,2,1.2928777324442686
8,0,1,0,1.8755059696226337
9,0,6,24,1.4807261183000744
10,0,Ġeggs,20,1.2430770105241848
11,0,Ġper,14,1.3322325754610755
12,0,Ġday,20,1.2430770105241848
13,0,.,2,1.2928777324442686
14,0,ĠShe,2,1.2928777324442686
15,0,Ġeats,28,1.0436740353309815
16,0,Ġthree,10,0.9731490855812044
17,0,Ġfor,10,0.9731490855812044
18,0,Ġbreakfast,28,1.0436740353309815
19,0,Ġevery,4,2.4800803383250454
20,0,Ġmorning,20,1.2430770105241848
21,0,Ġand,10,0.9731490855812044
22,0,Ġb,10,0.9731490855812044
23,0,akes,30,1.9179812560638962
24,0,Ġmuff,30,1.9179812560638962
25,0,ins,20,1.2430770105241848
26,0,Ġfor,2,1.2928777324442686
27,0,Ġher,10,0.9731490855812044
28,0,Ġfriends,20,1.2430770105241848
29,0,Ġevery,4,2.4800803383250454
30,0,Ġday,20,1.2430770105241848
31,0,Ġwith,16,1.8316797560437974
32,0,Ġfour,10,0.9731490855812044
33,0,.,6,5.849532127210667
34,0,ĠShe,2,1.2928777324442686
35,0,Ġsells,28,1.0436740353309815
36,0,Ġthe,24,1.4807261183000744
37,0,Ġremainder,20,1.2430770105241848
38,0,Ġat,2,1.2928777324442686
39,0,Ġthe,10,0.9731490855812044
40,0,Ġfarmers,30,1.9179812560638962
41,0,',14,1.3322325754610755
42,0,Ġmarket,20,1.2430770105241848
43,0,Ġdaily,28,1.0436740353309815
44,0,Ġfor,2,1.2928777324442686
45,0,Ġ$,18,1.533280207445134
46,0,2,18,1.533280207445134
47,0,Ġper,24,1.4807261183000744
48,0,Ġfresh,30,1.9179812560638962
49,0,Ġduck,30,1.9179812560638962
50,0,Ġegg,3,5.849532127210667
51,0,.,2,1.2928777324442686
52,0,ĠHow,0,1.8755059696226337
53,0,Ġmuch,30,1.9179812560638962
54,0,Ġin,10,0.9731490855812044
55,0,Ġdollars,28,1.0436740353309815
56,0,Ġdoes,14,1.3322325754610755
57,0,Ġshe,2,1.2928777324442686
58,0,Ġmake,20,1.2430770105241848
59,0,Ġevery,10,0.9731490855812044
60,0,Ġday,20,1.2430770105241848
61,0,Ġat,2,1.2928777324442686
62,0,Ġthe,10,0.9731490855812044
63,0,Ġfarmers,28,1.0436740353309815
64,0,',14,1.3322325754610755
65,0,Ġmarket,20,1.2430770105241848
66,0,?,0,1.8755059696226337
67,0,ĠLets,30,1.9179812560638962
68,0,Ġthink,18,1.533280207445134
69,0,Ġstep,16,1.8316797560437974
70,0,Ġby,10,0.9731490855812044
71,0,Ġstep,20,1.2430770105241848
72,0,Ġand,2,1.2928777324442686
73,0,Ġoutput,18,1.533280207445134
74,0,Ġthe,2,1.2928777324442686
75,0,Ġfinal,2,1.2928777324442686
76,0,Ġanswer,18,1.533280207445134
77,0,Ġafter,18,1.533280207445134
78,0,"Ġ""",18,1.533280207445134
79,0,####,18,1.533280207445134
80,0,""".",2,1.2928777324442686
81,0,ĠĊĊ,18,1.533280207445134
82,0,First,16,1.8316797560437974
83,0,",",0,1.8755059696226337
84,0,ĠI,0,1.8755059696226337
85,0,Ġneed,0,1.8755059696226337
86,0,Ġto,0,1.8755059696226337
87,0,Ġdetermine,0,1.8755059696226337
88,0,Ġhow,0,1.8755059696226337
89,0,Ġmany,24,1.4807261183000744
90,0,Ġduck,28,1.0436740353309815
91,0,Ġeggs,14,1.3322325754610755
92,0,ĠJanet,14,1.3322325754610755
93,0,Ġhas,16,1.8316797560437974
94,0,Ġeach,0,1.8755059696226337
95,0,Ġday,16,1.8316797560437974
96,0,.ĊĊ,18,1.533280207445134
97,0,She,24,1.4807261183000744
98,0,Ġlays,28,1.0436740353309815
99,0,Ġ,24,1.4807261183000744
100,0,1,24,1.4807261183000744
101,0,6,24,1.4807261183000744
102,0,Ġeggs,20,1.2430770105241848
103,0,Ġper,10,0.9731490855812044
104,0,Ġday,16,1.8316797560437974
105,0,Ġfrom,0,1.8755059696226337
106,0,Ġher,24,1.4807261183000744
107,0,Ġducks,20,1.2430770105241848
108,0,.Ċ,18,1.533280207445134
109,0,</think>,16,1.8316797560437974
110,0,ĊĊ,18,1.533280207445134
111,0,Jan,2,1.2928777324442686
112,0,et,14,1.3322325754610755
113,0,âĢĻs,24,1.4807261183000744
114,0,Ġducks,28,1.0436740353309815
115,0,Ġlay,28,1.0436740353309815
116,0,Ġ**,0,1.8755059696226337
117,0,1,24,1.4807261183000744
