Sample_ID,Final_Answer,0
0,((87 - 66) × (57 - 35)) ≈ 462,1
0,(66 + 57 + 35) - 87,1
0,(66 + 57) - (87 - 35),1
0,35 + (66 - (87 - 57)),1
0,57 + 35 + (87 - 66) = 71,1
1,54 + (86 - 59),3
1,54 + 86 - 59,1
1,86 - (59 - 54),1
2,(71 - (96 / (60 - 3))) - 60,1
2,(96 - 71) - (60 - 3),1
3,(85 - 15) - 15,2
3,85 - (15 + 15),3
3,85 - 15 - 15,3
4,(75 - (26 - (33 - 11))),1
4,(75 - (26 - 33 + 11)),1
4,(75 - 26) + (33 - 11),2
4,(75) - (11) - (33) + (26),1
4,75 + 33 - 26 - 11,1
4,75 - (26 - (33 - 11)),1
4,75 - (33 / 11) - (26 / 26),1
4,75 - 26 + 33 - 11,1
5,(22 + 31) + 21,2
5,22 + 31 + 21,3
5,31 + 21 + 22,2
5,31 + 22 + 21,2
6,(47 + 30) - 39 + 44,2
6,(47 + 44) + 30 - 39,1
6,(47 + 44) - 39 + 30,1
6,(47) + (30 + 44 - 39),1
6,30 + 44 + (47 - 39),1
6,47 + (44 - (39 - 30)),1
6,47 + 30 - 39 + 44,2
6,47 - 39 + 30 + 44,1
7,(50 - (16 / 19)) - 18,1
7,(50 × (19 - (18 - 16))) ÷ 50,1
8,(65 - (30 + 21)),1
8,(65 - 30) + 21,2
8,65 - (30 - 21),1
8,65 - 30 + 21,2
8,\( (65 - 30) + 21 \),1
9,(22 + 27) + 10,1
9,22 + 27 + 10,2
9,22 + 27 + 10 = 59,1
9,22 × 3 - 7,1
9,27 + (22 + 10),1
9,27 + 22 + 10,1
10,(77 - 52) * (24 / 8),2
10,52 + 24 - (8 / 8),1
10,77 - (24 - 8)/52 = 75,1
10,77 - (24 - 8)/8,1
10,77 - (24 / 8 - 52 / 52),1
10,77 - (24 ÷ 8) + (52 ÷ 52),1
11,(19 + 54) + (90 - 87),2
11,(54 + (90 - 87)) + 19,1
11,90 - (87 - (54 + 19)),2
11,90 - (87 - 54) + 19,2
12,(30 - 27) * 17 - 10,1
12,30 - (10 ÷ (27 -17)),1
12,30 - (17 + 10) / 27 = 29,1
12,30 - (27 - 17) / 10,2
12,30 - (27 - 17) ÷ 10,1
12,\(27 - 17 + \frac{30 - 10}{2}\),1
13,(73 + 43) - (61 + 37),2
13,(73 + 43) - (61 × 37) ÷ 1000,1
13,(73 - 37) - (61 - 43),1
13,(73 - 43) * (37 / 61),1
13,(73 - 43) * (61 - 37) ≈ 29.3935,1
13,(73 - 61) + (43 - 37),2
14,(59 + 13) * (40 - 39) - 1,1
14,(59 + 13) - (40 - 39),2
14,(59 - 40) + 39 + 13,1
14,59 + (13 - (40 - 39)),1
14,59 + (39 - (40 - 13)),1
14,59 + 13 - (40 - 39),2
14,59 - (40 - 39) + 13,1
15,(75 + (4 * 4)) + 4,1
15,(75 + (80 / 4)),1
15,(75 + 4) + (80 - 4) = 95,1
15,(80 - 4) + (75 / 4),1
15,(80 / 4) + 75,1
15,75 + (80 - (4 * 4)) = 95,1
15,75 + (80 ÷ 4),2
15,75 + 4 × (80 ÷ (4 × 4)),1
16,(28 * 3) - 10,1
16,(33 + 13) * 28 ÷ 4 \,1
16,(33 + 28) + 13,1
16,(33 - 13) * 2 + 28,1
16,28 + 13 + 33,1
16,28 + 33 + 13,1
16,33 + 13 + 28,2
16,33 + 28 + 13,1
17,(12 - 3) × 7 + 17,1
17,(7 + 12 + 3 + 17) * 2 = 80,1
17,12 × 7 − 17 ÷ 3,1
17,7 * (12 - 3) + 17,1
18,(20 + 18 + 42) / 2,1
18,(42 - 20) + 18,2
